# Provenance: Unicode 17.0.0 DerivedGeneralCategory.txt
# Source: https://www.unicode.org/Public/17.0.0/ucd/extracted/DerivedGeneralCategory.txt
# SHA-256: d62e5bab70ca74f099343f71224fa051cb1fdd61a1ab45c0488c44cfc0b6102e
# Records: 825 pairs (1650 elements)
00309D 00309F
0030A1 0030FA
0030FC 0030FF
003105 00312F
003131 00318E
003192 003195
0031A0 0031BF
0031F0 0031FF
003220 003229
003248 00324F
003251 00325F
003280 003289
0032B1 0032BF
003400 004DBF
004E00 00A48C
00A4D0 00A4FD
00A500 00A60C
00A610 00A62B
00A640 00A672
00A674 00A67D
00A67F 00A6F1
00A717 00A71F
00A722 00A788
00A78B 00A7DC
00A7F1 00A827
00A82C 00A82C
00A830 00A835
00A840 00A873
00A880 00A8C5
00A8D0 00A8D9
00A8E0 00A8F7
00A8FB 00A8FB
00A8FD 00A92D
00A930 00A953
00A960 00A97C
00A980 00A9C0
00A9CF 00A9D9
00A9E0 00A9FE
00AA00 00AA36
00AA40 00AA4D
00AA50 00AA59
00AA60 00AA76
00AA7A 00AAC2
00AADB 00AADD
00AAE0 00AAEF
00AAF2 00AAF6
00AB01 00AB06
00AB09 00AB0E
00AB11 00AB16
00AB20 00AB26
00AB28 00AB2E
00AB30 00AB5A
00AB5C 00AB69
00AB70 00ABEA
00ABEC 00ABED
00ABF0 00ABF9
00AC00 00D7A3
00D7B0 00D7C6
00D7CB 00D7FB
00F900 00FA6D
00FA70 00FAD9
00FB00 00FB06
00FB13 00FB17
00FB1D 00FB28
00FB2A 00FB36
00FB38 00FB3C
00FB3E 00FB3E
00FB40 00FB41
00FB43 00FB44
00FB46 00FBB1
00FBD3 00FD3D
00FD50 00FD8F
00FD92 00FDC7
00FDF0 00FDFB
00FE00 00FE0F
00FE20 00FE2F
00FE70 00FE74
00FE76 00FEFC
00FF10 00FF19
00FF21 00FF3A
00FF41 00FF5A
00FF66 00FFBE
00FFC2 00FFC7
00FFCA 00FFCF
00FFD2 00FFD7
00FFDA 00FFDC
010000 01000B
01000D 010026
010028 01003A
01003C 01003D
01003F 01004D
010050 01005D
010080 0100FA
010107 010133
010140 010178
01018A 01018B
0101FD 0101FD
010280 01029C
